Comuna,PDP ACTIVOS,PDP INACTIVOS,TOTAL PDP
CONCHALÍ,311,13,324
HUECHURABA,192,3,195
INDEPENDENCIA,148,5,153
RECOLETA,325,12,337
RENCA,269,15,284
ÑUÑOA,361,10,371
PEÑALOLÉN,413,24,437
LA GRANJA,244,5,249
PUENTE ALTO,952,50,1002
EL BOSQUE,248,5,253
LA CISTERNA,226,8,234
LA PINTANA,379,19,398
LO ESPEJO,210,32,242
PEDRO AGUIRRE CERDA,175,12,187
SAN JOAQUÍN,239,20,259
SAN MIGUEL,179,19,198
CERRILLOS,269,14,283
ESTACIÓN CENTRAL,301,18,319
MAIPÚ,867,33,900
CERRO NAVIA,260,3,263
LO PRADO,190,22,212
QUINTA NORMAL,271,14,285
LA FLORIDA,732,23,755
