A침o,Adulto,Estudiante educaci칩n media o superior (*),Estudiante educaci칩n b치sica,Adulto Mayor,Total
2010,1369872975,379409686,54449148,0,1803731809
2011,1285306478,389332432,52575580,0,1727214490
2012,1244598624,390657313,49076655,0,1684332592
2013,1235248124,394695397,48019131,0,1677962652
2014,1209627060,385630041,46234427,0,1641491528
2015,1161048525,381954899,40329600,0,1583333024
2016,1138245968,374876369,39809221,0,1552931558
2017,1153643058,363908324,44829530,0,1562380912
2018,1210464858,364472275,56135355,0,1631072488
2019,1108609648,342195068,64203347,0,1515008063
2020,436119685,89295231,30666140,14258707,570339763
2021,586101117,94639208,28843421,44037345,753621091
2022,690354495,198127757,48167197,77775678,1014425127
2023,805249248,230901723,61613271,112707711,1210471953
